Model,Best Parameters,MSE,MAE,RMSE,R2
CatBoost Regressor,"{'model__depth': 4, 'model__iterations': 100, 'model__learning_rate': 0.03}",7.578286998732692,2.3517298986322315,2.75286886697,0.10813253948609625
Linear Regression,{},7.6014718956586265,2.3324056169377525,2.7570766938296485,0.10540397363116516
Explainable Boosting Regressor,"{'model__interactions': 0, 'model__learning_rate': 0.01, 'model__max_bins': 64}",7.643603930258822,2.3470246101347256,2.7647068434571542,0.10044557198822879
Random Forest Regressor,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100}",7.6496172980212815,2.341425746302639,2.7657941532263894,0.09973787550796376
Gaussian Process Regressor,{'model__alpha': 0.01},8.098141015081573,2.4563348855669664,2.845723285051021,0.04695237021082799
