Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.618,0.6356275303643725,0.6085271317829457,0.6217821782178218,0.659090909090909
Explainable Boosting Machine,0.618,0.636734693877551,0.6046511627906976,0.6202783300198808,0.6614773528092767
XGBoost,0.598,0.6059479553903345,0.6317829457364341,0.618595825426945,0.6326798641809213
Support Vector Machine,0.614,0.6326530612244898,0.6007751937984496,0.6163021868787276,0.6725687103594081
Naive Bayes,0.608,0.6302521008403361,0.5813953488372093,0.6048387096774194,0.646341854058556
CatBoost,0.602,0.6204081632653061,0.5891472868217055,0.6043737574552683,0.6506822986738421
Random Forest,0.6,0.6239316239316239,0.5658914728682171,0.5934959349593496,0.6403116791594593
K-Nearest Neighbors,0.544,0.556390977443609,0.5736434108527132,0.5648854961832062,0.5548241399192774
Decision Tree,0.558,0.5780590717299579,0.5310077519379846,0.5535353535353535,0.5588923057210584
